ENSMUST00000070533.4|ENSMUSG00000051951.5|OTTMUSG00000026353.2|OTTMUST00000065166.1|Xkr4-201|Xkr4|3634|protein_coding|	3634
ENSMUST00000208660.1|ENSMUSG00000025900.12|OTTMUSG00000049985.3|OTTMUST00000145515.1|Rp1-203|Rp1|4170|protein_coding|	4170
ENSMUST00000027035.9|ENSMUSG00000025902.13|OTTMUSG00000050014.7|OTTMUST00000127245.2|Sox17-201|Sox17|3127|protein_coding|	3127
ENSMUST00000156816.6|ENSMUSG00000033845.13|OTTMUSG00000029329.3|OTTMUST00000072659.1|Mrpl15-206|Mrpl15|4203|protein_coding|	4203
ENSMUST00000027036.10|ENSMUSG00000025903.14|OTTMUSG00000021562.4|OTTMUST00000051162.1|Lypla1-201|Lypla1|2507|protein_coding|	2507
ENSMUST00000155020.1|ENSMUSG00000104217.1|OTTMUSG00000050100.1|OTTMUST00000127419.1|Gm37988-201|Gm37988|825|nonsense_mediated_decay|	825
ENSMUST00000081551.13|ENSMUSG00000033813.15|OTTMUSG00000042348.1|OTTMUST00000111602.1|Tcea1-201|Tcea1|2547|protein_coding|	2547
ENSMUST00000002533.14|ENSMUSG00000002459.17|OTTMUSG00000029338.4|OTTMUST00000072687.1|Rgs20-201|Rgs20|1778|protein_coding|	1778
ENSMUST00000044369.12|ENSMUSG00000033793.12|OTTMUSG00000050145.9|OTTMUST00000127490.4|Atp6v1h-201|Atp6v1h|2049|protein_coding|	2049
ENSMUST00000160777.7|ENSMUSG00000025905.14|OTTMUSG00000034734.3|OTTMUST00000088255.1|Oprk1-204|Oprk1|4675|protein_coding|	4675
ENSMUST00000044180.4|ENSMUSG00000033774.4|OTTMUSG00000050228.1|OTTMUST00000127613.1|Npbwr1-201|Npbwr1|3692|protein_coding|	3692
ENSMUST00000027040.12|ENSMUSG00000025907.14|OTTMUSG00000033467.12|OTTMUST00000084091.5|Rb1cc1-201|Rb1cc1|7607|protein_coding|	7607
ENSMUST00000133144.3|ENSMUSG00000087247.3|OTTMUSG00000050239.2|OTTMUST00000127625.2|Alkal1-201|Alkal1|971|protein_coding|	971
ENSMUST00000140079.7|ENSMUSG00000033740.17|OTTMUSG00000024833.6|OTTMUST00000061167.3|St18-208|St18|5892|protein_coding|	5892
ENSMUST00000061280.16|ENSMUSG00000051285.17|OTTMUSG00000043373.5|OTTMUST00000113805.2|Pcmtd1-201|Pcmtd1|5232|protein_coding|	5232
ENSMUST00000140295.7|ENSMUSG00000025909.16|OTTMUSG00000033160.4|OTTMUST00000082929.2|Sntg1-207|Sntg1|4887|protein_coding|	4887
ENSMUST00000072079.8|ENSMUSG00000061024.8|OTTMUSG00000045230.1|OTTMUST00000118821.1|Rrs1-201|Rrs1|2048|protein_coding|	2048
ENSMUST00000144177.7|ENSMUSG00000025911.14|OTTMUSG00000022305.3|OTTMUST00000053148.1|Adhfe1-203|Adhfe1|3239|protein_coding|	3239
ENSMUST00000088666.3|ENSMUSG00000067879.3|OTTMUSG00000022603.1|OTTMUST00000054142.1|Vxn-201|Vxn|3256|protein_coding|	3256
ENSMUST00000088658.10|ENSMUSG00000025912.16|OTTMUSG00000034736.3|OTTMUST00000088260.1|Mybl1-201|Mybl1|4980|protein_coding|	4980
ENSMUST00000057438.6|ENSMUSG00000045210.8|OTTMUSG00000022113.1|OTTMUST00000052491.1|Vcpip1-201|Vcpip1|9749|protein_coding|	9749
ENSMUST00000168907.7|ENSMUSG00000025915.14|OTTMUSG00000045250.2|OTTMUST00000118856.2|Sgk3-203|Sgk3|3779|protein_coding|	3779
ENSMUST00000171802.7|ENSMUSG00000046101.16|OTTMUSG00000021854.3|-|Mcmdc2-205|Mcmdc2|2553|protein_coding|	2553
